cust_name,review_date,review_title,review_description,range_used,review_score
Christophe,09/05/2023,Super,Super,Utilise ce produit depuis 7 à 12 mois,5
Yannick,05/05/2023,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,4
Patrick,03/05/2023,Parfait pour reprendre le…,Parfait pour reprendre le renforcement musculaire,Utilise ce produit depuis 1 semaine ou moins,5
Jean Paul,01/05/2023,"Je conseille ses altères,…","Je conseille ses altères, excellentes",Utilise ce produit depuis 2 à 8 semaines,5
Danièle,30/04/2023,Idéal pour débuter,C'est un très bon kit pour commencer la musculation à la maison,Utilise ce produit depuis Plus d'un an,5
Franck,30/04/2023,Fort utile et facilement…,"Fort utile et facilement transportable. Je peux m'en servir très régulièrement. Donc parfait et en plus, on peut facilement le compléter",Utilise ce produit depuis 7 à 12 mois,5
Sébastien,30/04/2023,Les fixations de barre…,"Les fixations de barre ont tendance à se dévisser seules, il faut penser de temps en temps à resserrer mais sinon c'est un bon produit",Utilise ce produit depuis 3 à 6 mois,5
Michel,29/04/2023,Acheté pour une remise…,"Acheté pour une remise en forme, j'aimerais avoir des conseils pour la meilleure utilisation de ce produit.",Utilise ce produit depuis 2 à 8 semaines,4
Manassé,29/04/2023,Un avis vraiment personnel…,Un avis vraiment personnel mais j'ai rendu le kit au magasin car il ne correspondait pas à mes attentes. Matériel de bonne qualité néanmoins.,Utilise ce produit depuis 1 semaine ou moins,5
Lou-Solenn,28/04/2023,Bon article,Il s'agit d'un très bon produit qui semble durable dans le temps. Je ne mets cependant pas la note maximale car la boîte n'a pas été bien pensée. Il n'y a rien qui permet de maintenir les poids ou les barres dans leur boîte donc j'ai dû mettre du scotch car impossible de refermer la boîte sans que les poids ou les barres ne tombent ...,Utilise ce produit depuis 1 semaine ou moins,4
Grégoire,26/04/2023,Produit facile d’utilisation et…,Produit facile d’utilisation et pratique à transporter dans sa mallette,Utilise ce produit depuis 2 à 8 semaines,5
alain,24/04/2023,rapport qualité / prix…,rapport qualité / prix correcte.,Utilise ce produit depuis 1 semaine ou moins,5
Yann,24/04/2023,Très bon set mais…,"Très bon set mais j’aurais aimé deux poids de 500gr.
Permettant une meilleure transition dans l’évolution pour ma fille",Utilise ce produit depuis 2 à 8 semaines,4
Philippe,23/04/2023,parfait. robuste,parfait. robuste,Utilise ce produit depuis 2 à 8 semaines,5
Marion,22/04/2023,"Produit conforme, parfait pour…","Produit conforme, parfait pour une utilisation à la maison.",Utilise ce produit depuis 2 à 8 semaines,5
Sonia,22/04/2023,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Michel,16/04/2023,Kit parfait pour se…,"Kit parfait pour se refaire les muscles, plusieurs combinaisons possibles avec ce coffret. 
Attention, je pense que le système de charnières est fragile et risque de casser dans le temps surtout si ce dernier reste exposé aux rayons solaires ou lunaires.
C'est le seul point négatif que je peux reprocher. 
Les écrous à pas carré sont très bien, bien usinés et ne se déssèrent pas s'ils sont bien bloqués au montage .
Les barres sont très bien et ne glissent pas dans les mains.",Utilise ce produit depuis 2 à 8 semaines,5
Jérôme,16/04/2023,Impeccable :yes:,Impeccable 👍,Utilise ce produit depuis 2 à 8 semaines,5
Stephane,15/04/2023,La malette est pratique…,La malette est pratique mais le plastique n’est pas très endurant notamment pour maintenir les articles,Utilise ce produit depuis 2 à 8 semaines,4
Stephanie,15/04/2023,Top,Le bonheur de mon fils,Utilise ce produit depuis 3 à 6 mois,5
Sandrine,13/04/2023,bon rapport qualité prix,bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
Natacha,12/04/2023,Malette abimée = pas de fermeture,"Je viens de recevoir le produit : la mallette est abimée... Une des deux parties qui fait pression pour la fermer est manquant. Il était tout au fond du carton en morceaux. Je suis très déçue, au vu du prix et ayant acheté ce kit spécialement pour pouvoir ranger et transporter le matériel sans soucis... Là, la mallette ne reste pas fermée.",Utilise ce produit depuis 1 semaine ou moins,3
Pierre,12/04/2023,Bien pour débuter,"Ce kit est parfait pour débuter la musculation ou pour quelques exercices ponctuellement. Le système de serrage n'est toutefois pas optimal, le changement de poids nécessitant beaucoup de manipulations.",Utilise ce produit depuis 3 à 6 mois,4
Alain,04/04/2023,C'est exatement ce que…,C'est exatement ce que je désirer,Utilise ce produit depuis 1 semaine ou moins,5
Philippe,04/04/2023,"Bon produit, facile d'utilisation…","Bon produit, facile d'utilisation et pratique à ranger.",Utilise ce produit depuis 2 à 8 semaines,5
Estelle,04/04/2023,Kit complet pour débuter,Kit de poids complet pour débuter la musculation,Utilise ce produit depuis 7 à 12 mois,5
thierry,03/04/2023,fermeture de la malette…,fermeture de la malette abime,Utilise ce produit depuis 2 à 8 semaines,1
Francois Audrey,03/04/2023,Ras,Ras,Utilise ce produit depuis 1 semaine ou moins,5
François,31/03/2023,Qualité à revoir,"Poids ayant un bon rapport qualité prix.
La qualité des peintures n'est pas grandiose mais est ce nécessaire ?
Il manque un joint sur un des écrous, je vais retourner au magasin le réclamer. La boîte était pourtant scellée. Le contrôle qualité est donc à revoir.",Utilise ce produit depuis 1 semaine ou moins,4
Lucien,26/03/2023,Prenez la livraison !!,"Bonjour j’ai acheté ce pack ce matin et le décathlon ou je l’ai acheté était plutôt loin de chez moi, et j’ai énormément galérais à le ramener chez moi( j’ai pris les transports ) . Je vous conseille donc de le remmener en voiture ou bien prendre la livraison.
Je n’ai pas encore fais d’entraînement avec le contenu de la mallette, ne prenaient donc pas en compte les avis que j’ai mis dessus",Utilise ce produit depuis 1 semaine ou moins,4
astrid,25/03/2023,Parfait,Parfait,Utilise ce produit depuis 1 semaine ou moins,5
Arnaud,23/03/2023,Ras,Ras,Utilise ce produit depuis 3 à 6 mois,5
Cynthia,23/03/2023,Super produit,Super produit,Utilise ce produit depuis 2 à 8 semaines,5
Lucien,22/03/2023,Matériel modulable très efficace,Matériel modulable très efficace,Utilise ce produit depuis 2 à 8 semaines,5
Patrick,22/03/2023,"Pas de problème ,…","Pas de problème , je recommande",Utilise ce produit depuis 2 à 8 semaines,4
Bruno,21/03/2023,"Même NEUF, le jour…","Même NEUF, le jour du déballage, l'écrou avait du mal à se visser et faisait un bruit d'enfer TRÈS DÉSAGRÉABLE AUX OREILLES... Je vais peut-être le ramener au magasin...",Utilise ce produit depuis 2 à 8 semaines,4
Didier,21/03/2023,Très content de mon…,Très content de mon achat.,Utilise ce produit depuis 2 à 8 semaines,5
Ingrid,20/03/2023,mon fils les utilise…,mon fils les utilise et il en est content,Utilise ce produit depuis 2 à 8 semaines,4
Jules,20/03/2023,Fidèle aux attentes,Fidèle aux attentes,Utilise ce produit depuis 2 à 8 semaines,4
Germaine,17/03/2023,Très bon produit,Très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Marie,12/03/2023,Coffret qui permet de…,Coffret qui permet de commencer sans gros budget. Impeccable,Utilise ce produit depuis 1 semaine ou moins,5
Jeanne,10/03/2023,C’est pas cher et…,C’est pas cher et très utile pour la musculation à la maison. Et la palette très pratique pour le rangement,Utilise ce produit depuis 1 semaine ou moins,5
Olivia,10/03/2023,contenu pas conforme au descriptif,"Le coffret n'est pas de 20kg mais 18kg, il n'y a pas 8 x 1kg comme indiqué mais si 6 x 1kg !! Du coup on ne peut pas mettre la même charge 'complète' sur les 2 altères, il va nous rester 2x1kg qui vont servir a rien si on veut utiliser les 2 altères en même temps!",Utilise ce produit depuis 1 semaine ou moins,1
Joelle,09/03/2023,partfait dans sa malette,partfait dans sa malette,Utilise ce produit depuis 1 semaine ou moins,5
Ben Yassini Mbae,06/03/2023,Je suis très heureux…,Je suis très heureux avoir acheté cette produit,Utilise ce produit depuis 1 semaine ou moins,4
Elodie,03/03/2023,A voir avec le…,A voir avec le temps et l'utilisation,Utilise ce produit depuis 2 à 8 semaines,5
Claudia,02/03/2023,Três bon,Três bon,Utilise ce produit depuis 2 à 8 semaines,5
Jack,27/02/2023,Pas mal,"Un bon set pour débuter sans trop dépenser. 
Les disques sont solides mais n allez pas non plus faire du soulevé de terre avec!
 les écrous tiennent bien mais gare aux joints qui aime bien se faire la malle de temps à autre...
Sinon tout est top. 
les barres manque toutefois légèrement d'ergonomie.",Utilise ce produit depuis Plus de 2 ans,4
Thierry,25/02/2023,J'ai déjà répondu je…,J'ai déjà répondu je vous ai déjà donné mon avis au sujet du magasin par contre sera un vélo électrique que j'aurais aimé savoir de quel façon pour la payer en combien de fois j'ai vue un vélo électrique qui fais 1000€ a peu près j'attends votre réponse j'aurais aimé savoir autre choses pour que je face une commande de vêtements pour m'habiller je peu faire comment merci d'avance et vos employés sont très gentils et très aimable il mon renseigné bien il mon bien expliquer au niveaux du produit je reviendrai pour acheter au moin deux pantalons qui me plaît énormément avec des maillots aussi je reviendrai pour une veste pour le froid voilà monsieur le directeur je suis très reconnaissant et a bientôt,Utilise ce produit depuis 3 à 6 mois,5
Marie Ange,24/02/2023,Très bon produit au…,Très bon produit au niveau qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Alexandre,22/02/2023,Très pratique les vis…,Très pratique les vis de maintien. Et aussi très pratique le rangement malette,Utilise ce produit depuis 2 à 8 semaines,5
Stephane,22/02/2023,"Très bien
Par contre l'un…","Très bien
Par contre l'un des système de blocage bouge se dévisse légèrement très souvent ce qui est un peu gênant car à revisser entre chaque série ou exercice",Utilise ce produit depuis 3 à 6 mois,4
Sylvie,19/02/2023,Bon achat,Bon achat,Utilise ce produit depuis 1 semaine ou moins,4
Sébastien,19/02/2023,Nickel,Nickel,Utilise ce produit depuis 2 à 8 semaines,5
Dylan,19/02/2023,Produit OK,RAS,Utilise ce produit depuis Plus de 2 ans,5
Sandrine,18/02/2023,Très bon produit bien…,Très bon produit bien qu'un des bloqueurs ne se visse pas bien et ne tient pas bien dans la boîte.,Utilise ce produit depuis 2 à 8 semaines,4
FRANCOISE,18/02/2023,Très bon materiel,Très bon materiel,Utilise ce produit depuis 1 semaine ou moins,5
Celine,16/02/2023,Les écrous  ne…,"Les écrous  ne sont pas très  pratiques et manque  de serrage selon l'exercice que l'on fait, ils se desserent un peu...",Utilise ce produit depuis 2 à 8 semaines,4
Cendrine,15/02/2023,Très bon produit,Très bon produit,Utilise ce produit depuis 7 à 12 mois,5
Bruno,12/02/2023,TOP,"Très bon kit autant pour débuter que pour progresser
j'ai complété avec 4 poids de 0,5 pour augmenter par tranche de 2kg au total",Utilise ce produit depuis Plus d'un an,5
Emma,10/02/2023,top,top,Utilise ce produit depuis 1 semaine ou moins,5
Manuella,09/02/2023,Très pratique dans sa…,Très pratique dans sa mallette pour le rangement. Bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Nathalie,09/02/2023,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Michel,08/02/2023,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,4
jennifer,08/02/2023,Pratique et bon rapport…,Pratique et bon rapport qualité prix,Utilise ce produit depuis 2 à 8 semaines,4
ismet,07/02/2023,Parfait,Permet de travailler en toute sécurité,Utilise ce produit depuis 3 à 6 mois,5
Patrice,07/02/2023,Parfait,Parfait,Utilise ce produit depuis 2 à 8 semaines,5
OLIVIER,05/02/2023,Ensemble très pratique avec…,Ensemble très pratique avec sa valisette. Belle qualité. Les barres et écrous filetés permettent un bon blocage des masses sur les barres,Utilise ce produit depuis 2 à 8 semaines,5
Justine,04/02/2023,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Alain,03/02/2023,Bon produit.,Bon produit.,Utilise ce produit depuis 2 à 8 semaines,5
Guillaume,01/02/2023,Conforme aux attentes,Conforme aux attentes,Utilise ce produit depuis 2 à 8 semaines,5
jacquot,01/02/2023,impeccable zebi la truite,impeccable zebi la truite,Utilise ce produit depuis 2 à 8 semaines,5
Michel,28/01/2023,correspond à mes attentes…,correspond à mes attentes pour renforcement musculaire en complément du trail pratiqué.,Utilise ce produit depuis 2 à 8 semaines,4
David,27/01/2023,Top pour mon activité,Top pour mon activité,Utilise ce produit depuis 1 semaine ou moins,4
Sebastien,27/01/2023,Produit efficace pour du…,Produit efficace pour du cross training,Utilise ce produit depuis 2 à 8 semaines,4
Aurelie,26/01/2023,Rien à dire… !,Rien à dire… !,Utilise ce produit depuis 7 à 12 mois,5
Guislin,25/01/2023,très satisfait du produit…,très satisfait du produit ! simple et pratique,Utilise ce produit depuis 2 à 8 semaines,5
Cecile,24/01/2023,satisfait   -…,satisfait   -    rangement  OK,Utilise ce produit depuis 2 à 8 semaines,5
Celine,24/01/2023,Bon matériel pour débutants.,Bon matériel pour débutants.,Utilise ce produit depuis 2 à 8 semaines,5
Jacky,23/01/2023,parfais pour débutant,parfais pour débutant,Utilise ce produit depuis 2 à 8 semaines,5
Anthony,22/01/2023,très bien,"très bon rapport qualité-prix mais la malette en plastique est un peu déformé sous l'effet des poids, rien de grave tout est parfait sinon",Utilise ce produit depuis 1 semaine ou moins,5
Valerie,19/01/2023,Excellent rapport qualite prix,Excellent rapport qualite prix,Utilise ce produit depuis 7 à 12 mois,4
Jean-Luc,19/01/2023,Bonne tenue en mains,Bonne tenue en mains,Utilise ce produit depuis 2 à 8 semaines,5
Nathalie,19/01/2023,Très bon produit pour…,Très bon produit pour la musculation,Utilise ce produit depuis 7 à 12 mois,5
Jacques,18/01/2023,La petite valise est…,La petite valise est un peu fragile,Utilise ce produit depuis 1 semaine ou moins,5
Romane,18/01/2023,Bien pour la muscu,"Les disques sont trop large, les écrous se dévissent et la barre n'est pas agréable à prendre en main. Il faut prendre du temps pour changer les poids. 
Pour de la pure musculation je pense que c'est un bon produit mais pas pour de la fitness.",Utilise ce produit depuis 2 à 8 semaines,3
Valérie,17/01/2023,Produit complet et de…,Produit complet et de qualité,Utilise ce produit depuis 1 semaine ou moins,5
Audrey,17/01/2023,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Lydie,17/01/2023,Excellent,Excellent,Utilise ce produit depuis 3 à 6 mois,5
Thomas,17/01/2023,Top pour le rangement,Top pour le rangement,Utilise ce produit depuis 1 semaine ou moins,5
Marie-Claire,17/01/2023,Mon fils est très…,Mon fils est très satisfait de ce produit.,Utilise ce produit depuis 3 à 6 mois,5
Christina,16/01/2023,Pratique solide simple d'utilisation…,"Pratique solide simple d'utilisation 
Bon produit",Utilise ce produit depuis 2 à 8 semaines,4
Adrien,16/01/2023,Très bien pour les…,"Très bien pour les séances à la maison, modulable et facile à ranger",Utilise ce produit depuis 3 à 6 mois,5
Ethan,15/01/2023,Recommandation,Je viens de les avoir est c’est super pratique ! (Je recommande pour tous ceux et celles qui veulent devenir le/la plus fort/e de leur lignée hehe),Utilise ce produit depuis 1 semaine ou moins,5
Maxime,14/01/2023,Poids,La base !,Utilise ce produit depuis 1 semaine ou moins,5
Christophe,14/01/2023,La malette de transport…,"La malette de transport est bien pratique. 
Oui je recommande ce produit.",Utilise ce produit depuis 2 à 8 semaines,4
Francis,13/01/2023,Conforme aux caractéristiques …,Conforme aux caractéristiques  bon produit,Utilise ce produit depuis 2 à 8 semaines,5
DOMINIQUE,12/01/2023,La mallette n’ est…,La mallette n’ est pas du tout adaptée,Utilise ce produit depuis 2 à 8 semaines,4
Geoffrey,12/01/2023,Super rapport qualité prix…,"Super rapport qualité prix 
Sécurisant",Utilise ce produit depuis 2 à 8 semaines,5
Francine,12/01/2023,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Jean-Christophe,11/01/2023,Très pratique pour ranger,Très pratique pour ranger,Utilise ce produit depuis 2 à 8 semaines,4
Nathalie,11/01/2023,Produit conforme à mes…,Produit conforme à mes attentes,Utilise ce produit depuis 2 à 8 semaines,5
Valérie,10/01/2023,"Très pratique, bon produit…","Très pratique, bon produit !",Utilise ce produit depuis 2 à 8 semaines,5
Hanane,10/01/2023,Pas assez de maintien…,Pas assez de maintien dans son étui .,Utilise ce produit depuis 2 à 8 semaines,4
Alice,09/01/2023,Une très bonne malette…,"Une très bonne malette pour débuter. 
Assez complète 
Rapport qualité/prix top",Utilise ce produit depuis 2 à 8 semaines,5
Franck,08/01/2023,Matériel apparemment robuste et…,Matériel apparemment robuste et polyvalent avec différentes combinaisons possibles.,Utilise ce produit depuis 2 à 8 semaines,5
Hélène,07/01/2023,Les poids sont adaptés…,Les poids sont adaptés pour mes exercices de muscu sans soucis.,Utilise ce produit depuis 1 semaine ou moins,4
Charline,06/01/2023,Au top et ne…,Au top et ne prend pas de place après la malette reste lourde seul défaut,Utilise ce produit depuis 7 à 12 mois,4
Andre,05/01/2023,Kit haltères de 20 kg,"Ce produit parait bien étudié, à voir à l'usage pour un enfant de 16 ans.
Offert pour Noël.",Utilise ce produit depuis 2 à 8 semaines,4
Sullivan,04/01/2023,Mon fils est ravi,Mon fils est ravi,Utilise ce produit depuis 2 à 8 semaines,4
Nicolas,04/01/2023,Excellent !,Excellent !,Utilise ce produit depuis 2 à 8 semaines,5
Cécile,03/01/2023,Kit offert pour mon…,"Kit offert pour mon adolescent à Noël, il en est ravi. Tout tient dans la mallette et se transporte facilement. Possibilité de régler les poids de façon simple.",Utilise ce produit depuis 2 à 8 semaines,5
Christophe,03/01/2023,Bien conçu et changement…,"Bien conçu et changement de poids facile, blocage fiable et durable",Utilise ce produit depuis 2 à 8 semaines,5
Fabrice,01/01/2023,Excellent produit,Excellent produit,Utilise ce produit depuis 2 à 8 semaines,4
celine,31/12/2022,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Jérôme,31/12/2022,Du bon matériel aussi…,"Du bon matériel aussi bien pour amateurs que professionnel les produits sont de très bonne qualité avec une belle finition je reviendrait pour compléter ma gamme en espérant que vous vous réapprovisionner régulièrement, merci 👍",Utilise ce produit depuis 7 à 12 mois,5
Jérôme,30/12/2022,La fermeture de la…,La fermeture de la boîte plastique doit être fiabilisée et/ou améliorer,Utilise ce produit depuis 2 à 8 semaines,4
Thomas,29/12/2022,Bon produit solide on…,Bon produit solide on se fait rapidement à l'ergonomie,Utilise ce produit depuis 3 à 6 mois,5
Christelle,26/12/2022,"Très bien, je recommande.","Très bien, je recommande.",Utilise ce produit depuis 1 semaine ou moins,5
Peggy,26/12/2022,Correspond tout à fait…,"Correspond tout à fait à la description, facile à monter et pratique",Utilise ce produit depuis 1 semaine ou moins,5
Christele,26/12/2022,RAS,RAS,Utilise ce produit depuis 2 à 8 semaines,5
Frédéric,24/12/2022,Très bon produit …,Très bon produit  qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Geraldine,23/12/2022,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
BACHIR,23/12/2022,très bon produit facile…,très bon produit facile a ranger,Utilise ce produit depuis 2 à 8 semaines,5
Christine,23/12/2022,Très satisfaite de mon…,Très satisfaite de mon achat.,Utilise ce produit depuis 2 à 8 semaines,5
Constantin,22/12/2022,Correspond en tous points…,Correspond en tous points à notre attente.,Utilise ce produit depuis 2 à 8 semaines,5
Laurent,19/12/2022,Ensemble très pratique pour…,Ensemble très pratique pour le transport dans sa petite mallette plastique et simple à utiliser pour se muscler.,Utilise ce produit depuis 2 à 8 semaines,5
Karine,19/12/2022,très bon produit,très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Isabelle,15/12/2022,Très bonne qualité,Très bonne qualité,Utilise ce produit depuis 1 semaine ou moins,5
Caroline,14/12/2022,Oui,Oui,Utilise ce produit depuis 2 à 8 semaines,4
Guilhem,14/12/2022,Au top,Au top,Utilise ce produit depuis 2 à 8 semaines,5
Patrick,14/12/2022,Bien,Ils sont bien mais le joint en caoutchouc part rapidement. Il faudrait revoir sa mise en place je crois,Utilise ce produit depuis Plus d'un an,5
Joelle,14/12/2022,très pratique pour la…,très pratique pour la maison  quand je ne peut pas aller a la salle de sport,Utilise ce produit depuis 2 à 8 semaines,5
Cedric,14/12/2022,Parfait,Parfait,Utilise ce produit depuis 1 semaine ou moins,4
Lionel,11/12/2022,Très bon produit,"Facile d’utilisation, répond au besoin",Utilise ce produit depuis 2 à 8 semaines,5
Frederic,10/12/2022,Poids,Bien facile d’utilisation dommage qu’il faut souvent re- serer l’écrou de maintient des poids,Utilise ce produit depuis 3 à 6 mois,5
Regis,08/12/2022,Pour offrir à Noël,Pour offrir à Noël,Utilise ce produit depuis 1 semaine ou moins,5
Emmanuel,08/12/2022,Bon coffret,Très bien costaud sécurisé grâce aux écrous,Utilise ce produit depuis 2 à 8 semaines,5
Virginie,08/12/2022,C'est pour offrir,C'est pour offrir,Utilise ce produit depuis 2 à 8 semaines,4
Marvin,07/12/2022,Top,Kit parfait pour un débutant,Utilise ce produit depuis 1 semaine ou moins,5
Jerome,06/12/2022,bon kit complet avec…,bon kit complet avec choix de différents poids à un prix abordable,Utilise ce produit depuis 1 semaine ou moins,5
Isabelle,06/12/2022,altere,bien super fixation,Utilise ce produit depuis 2 à 8 semaines,4
Maurice,06/12/2022,Très pratique et une…,Très pratique et une fois dans sa boîte prends peu de place bravo très bien.,Utilise ce produit depuis 2 à 8 semaines,5
Yannick,05/12/2022,En faite pour commencer…,"En faite pour commencer c’est l’idéal, par contre on arrive vite à la limite, du coup acheter quelques poids en plus ne serait pas plus mal",Utilise ce produit depuis 2 à 8 semaines,5
Nazim,05/12/2022,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Benoit,04/12/2022,Très bien même si…,Très bien même si les écrous on tendance a ce desserré,Utilise ce produit depuis 2 à 8 semaines,4
Felipe,04/12/2022,Répond aux attentes !,Répond aux attentes !,Utilise ce produit depuis 3 à 6 mois,4
Pascal,03/12/2022,Très bon rapport qualité/prix,Très bon rapport qualité/prix,Utilise ce produit depuis 1 semaine ou moins,5
,01/12/2022,Très content,Très content,Utilise ce produit depuis 1 semaine ou moins,5
Arianne,01/12/2022,Bon produit,Bon produit,Utilise ce produit depuis 2 à 8 semaines,4
Julien,30/11/2022,Haltère aux finitions correctes…,"Haltère aux finitions correctes et sécurité garantie grâce au tiges filetées, parfaites pour la maison.",Utilise ce produit depuis 2 à 8 semaines,5
Jean-Pierre,24/11/2022,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
DOMINIQUE,24/11/2022,r.a.s,r.a.s,Utilise ce produit depuis 2 à 8 semaines,5
Evelyne,22/11/2022,"Super.
Très pratiques, facilement modulables.","Super.
Très pratiques, facilement modulables.",Utilise ce produit depuis 1 semaine ou moins,5
Gerard,18/11/2022,Bon produit,Bon produit,Utilise ce produit depuis 3 à 6 mois,5
Christophe,17/11/2022,Ras,Ras,Utilise ce produit depuis 1 semaine ou moins,5
LAURENT,16/11/2022,Que ça soit en…,"Que ça soit en utilisation direct ou en complément  de mon matériel de musculation (trous d’emboîtage légèrement plus grands que la dimensions des barres standards), nickel! je recommande!",Utilise ce produit depuis 2 à 8 semaines,5
Frederic,14/11/2022,ideale,parfait pour moi qui débute,Utilise ce produit depuis 7 à 12 mois,5
Thierry,11/11/2022,Excellent kit,Excellent kit,Utilise ce produit depuis 2 à 8 semaines,5
stephane,10/11/2022,Fait tres bien le…,"Fait tres bien le job , utilisable a domicile, transportable au bureau, en vacances👍",Utilise ce produit depuis 2 à 8 semaines,4
Eddie,09/11/2022,Très bon produit.,Très bon produit.,Utilise ce produit depuis 1 semaine ou moins,5
Mickaël,05/11/2022,"Bon produit, permet de…","Bon produit, permet de bien progresser chez soi",Utilise ce produit depuis 3 à 6 mois,5
Valerie,05/11/2022,Facile à monter et…,Facile à monter et on peut changer de poids selon nos besoins,Utilise ce produit depuis 3 à 6 mois,5
Celine,05/11/2022,Ras,Ras,Utilise ce produit depuis 3 à 6 mois,4
ROGER,04/11/2022,Tres bien,Tres bien,Utilise ce produit depuis 2 à 8 semaines,5
Cedric,02/11/2022,parfait pour les entretiens…,parfait pour les entretiens de base a la maison,Utilise ce produit depuis 1 semaine ou moins,5
Florian,02/11/2022,Top pour la muscu à la maison,"Top pour la muscu à la maison ! 
Beau matos , qui fait son poids ( 20kg en tout )",Utilise ce produit depuis 1 semaine ou moins,5
Melanie,01/11/2022,Sport maison,Idéal pour commencer le sport en douceur,Utilise ce produit depuis 7 à 12 mois,5
Prieto,30/10/2022,bien :yes:,bien 👍,Utilise ce produit depuis 2 à 8 semaines,5
Angelique,30/10/2022,Nikel,Nikel,Utilise ce produit depuis 1 semaine ou moins,5
Manon,25/10/2022,Très pratique pour le prix,"Utilisé depuis quelques semaines pour un renforcement musculaire à la maison, ce kit est très pratique pour travailler tout le corps. J’en suis très satisfaite!",Utilise ce produit depuis 2 à 8 semaines,5
Marielle,25/10/2022,Très bien !,Très bien !,Utilise ce produit depuis 2 à 8 semaines,5
Sandrine,24/10/2022,Très contente de ce…,"Très contente de ce produit bonne ergonomie, je recommande",Utilise ce produit depuis 7 à 12 mois,5
Catherine,23/10/2022,Bon équipement !,Bon équipement !,Utilise ce produit depuis 7 à 12 mois,5
Cécile,21/10/2022,Exactement ce que je…,Exactement ce que je cherchais pour avoir plus d'adaptabilité pour les entraînements !,Utilise ce produit depuis 1 semaine ou moins,5
Laurence,20/10/2022,Ras,Ras,Utilise ce produit depuis 2 à 8 semaines,5
