cust_name,review_date,review_title,review_description,range_used,review_score
Dedel-Sylvie,27/05/2023,Rien à dire,Rien à dire,Utilise ce produit depuis 1 semaine ou moins,4
Alexandre,26/05/2023,produit correspondant à mon…,produit correspondant à mon attente.,Utilise ce produit depuis 1 semaine ou moins,4
Sabrina,24/05/2023,rien a signaler,rien a signaler,Utilise ce produit depuis 1 semaine ou moins,4
Annick,24/05/2023,ras merci,ras merci,Utilise ce produit depuis 1 semaine ou moins,4
Jean Paul,24/05/2023,2ème paire car très…,2ème paire car très satisfait de la précédente,Utilise ce produit depuis 1 semaine ou moins,5
Jean Paul,24/05/2023,Parfait,Parfait,Utilise ce produit depuis 2 à 8 semaines,4
Rakotoarimanana,22/05/2023,sandale gris,taille bien,Utilise ce produit depuis 1 semaine ou moins,4
Murielle,21/05/2023,"Confortable, agréable à porter","Confortable, agréable à porter",Utilise ce produit depuis 2 à 8 semaines,4
Christiane,20/05/2023,Confortable bon produit et…,Confortable bon produit et prix au top,Utilise ce produit depuis 1 semaine ou moins,5
Martine,20/05/2023,je recommande ce produit…,je recommande ce produit qui est très confortable,Utilise ce produit depuis 2 à 8 semaines,5
Dominique,20/05/2023,Belle qualité pour un…,Belle qualité pour un prix mini,Utilise ce produit depuis Plus d'un an,5
Fabien,20/05/2023,Bien,Bien,Utilise ce produit depuis 7 à 12 mois,4
Isabelle,20/05/2023,Surtout choisi chez les…,Surtout choisi chez les hommes car le modèle femme n'a pas la semelle qui remonte un peu à l'avant et protège un peu le bout des orteils.,Utilise ce produit depuis 2 à 8 semaines,4
Jean,19/05/2023,Tout ok,Tout ok,Utilise ce produit depuis 2 à 8 semaines,5
Evelyne,18/05/2023,La sandale prend trop…,La sandale prend trop la forme du pied et devient donc inconfortable à l'usage.,Utilise ce produit depuis 2 à 8 semaines,2
Pascal,18/05/2023,Correspond à mon attente,Correspond à mon attente,Utilise ce produit depuis 2 à 8 semaines,4
Eric,18/05/2023,Sandales solides et agréables…,Sandales solides et agréables à porter.,Utilise ce produit depuis 7 à 12 mois,5
Eric,15/05/2023,Super pas de problème…,Super pas de problème aussi bien dans le sable que dans l'eau de mer.,Utilise ce produit depuis 2 à 8 semaines,5
Rida,14/05/2023,Très confortable et rapport…,Très confortable et rapport qualité/prix imbattable.,Utilise ce produit depuis 2 à 8 semaines,5
Rose,14/05/2023,Ras,Ras,Utilise ce produit depuis Plus d'un an,4
Virginie,11/05/2023,Confortables,"Bonnes sandalettes, pratique pour l'été. Manque un choix plus diversifié en coloris (acheté pour mon fils qui ne trouve plus sa pointure en enfant)",Utilise ce produit depuis 1 semaine ou moins,4
Elisabeth,07/05/2023,:yes:,👍,Utilise ce produit depuis 1 semaine ou moins,4
Elisabeth,07/05/2023,:yes:,👍,Utilise ce produit depuis 1 semaine ou moins,4
Michel,07/05/2023,Très bon produit,Très bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Jean Francois,07/05/2023,Produit conforme aux attentes.,Produit conforme aux attentes.,Utilise ce produit depuis 7 à 12 mois,5
Annie,07/05/2023,Impeccable au bord de…,Impeccable au bord de la mer. Satisfait de ce produit.,Utilise ce produit depuis 2 à 8 semaines,4
Nouzoula,06/05/2023,Chaussures très confortable,Chaussures très confortable,Utilise ce produit depuis 1 semaine ou moins,5
REMY,05/05/2023,Attache trop courte,La languette pour maintenir la sandale avec le velcro est trop court . Pas du tout confortable. Défaut majeur qu'il n'y avait pas sur le modèle de 2022 . La même sandale en gris anthracite n'a pas ce défaut.,Utilise ce produit depuis 1 semaine ou moins,1
Didier,04/05/2023,Bien,Bien,Utilise ce produit depuis 2 à 8 semaines,5
Alexandre,02/05/2023,"Obsolescence programmée, avec odeurs... ;)","Je porte des sandales depuis un demi-siècle... malheureusement depuis une quinzaine d'années le diktat de la mode a rendu le cuir et les matériaux naturels introuvables pour le commun des mortels. 

On se contente donc de synthétique et autres dérivés de pétrole, et on ferme les yeux sur le design spokien.

Ce modèle-ci a la particularité de puer! Je marche beaucoup, et c'est la première fois que des sandales me font puer des pieds. 

Achetées en mai 2021, elles sont déjà en train de partir en morceaux : c'est l'obsolescence programmée, avec odeurs... ;)",Utilise ce produit depuis Plus d'un an,2
Janine,01/05/2023,bon aritcle,bon aritcle,Utilise ce produit depuis 1 semaine ou moins,4
Alexandre,01/05/2023,Sandales très agréable pour…,Sandales très agréable pour le prix,Utilise ce produit depuis 7 à 12 mois,4
Aalain,01/05/2023,Bon produit,Bon rapport qualité prix,Utilise ce produit depuis 1 semaine ou moins,4
Patrick,30/04/2023,légère,légère,Utilise ce produit depuis 2 à 8 semaines,5
Tony,30/04/2023,Dommage que le rayon…,Dommage que le rayon de ma taille de pied soit vide,Utilise ce produit depuis 1 semaine ou moins,4
Monique,30/04/2023,Pratique avec les scratchs,Pratique avec les scratchs,Utilise ce produit depuis 2 à 8 semaines,5
Michèle,29/04/2023,J’ai déjà acheté cet…,J’ai déjà acheté cet article et j’ai fait 1500kms (St Jacques de Compostelle) sans aucun problème. Je les utilise toujours mais je voulais les renouveler. Je recommande vivement !,Utilise ce produit depuis 2 à 8 semaines,5
Marinette,29/04/2023,prix raisonnable,déjà une paire assez solide et confortable pour l'été,Utilise ce produit depuis 1 semaine ou moins,5
Jeremy,25/04/2023,Très bon rapport qualité…,Très bon rapport qualité prix ! Un bon compromis entre tong et chaussure . Facile pour conduire avec,Utilise ce produit depuis 2 à 8 semaines,4
Annie,24/04/2023,Article facile d'utilisation.,Article facile d'utilisation.,Utilise ce produit depuis 1 semaine ou moins,5
Bounama,24/04/2023,Adhérent,Adhérent,Utilise ce produit depuis 7 à 12 mois,5
Matthieu,24/04/2023,SANDALES,Conforme aux attentes,Utilise ce produit depuis Plus d'un an,5
Christian,23/04/2023,Bon produit,Bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Catherine,21/04/2023,Ideal pour l été…,Ideal pour l été assure une bonne marche et un bon maintien,Utilise ce produit depuis 7 à 12 mois,5
nourdin,17/04/2023,Exilent produit,Exilent produit,Utilise ce produit depuis 2 à 8 semaines,4
Romuald,15/04/2023,Convient pour remplacer les…,"Convient pour remplacer les tons avec un pied moins exposé au soleil. Ne convient pas du tout pour les randonnées où des passages à gué sont obligatoires, malgré un resserrage excessif des réglages. Quand à l'adhérence je sais très déçu. Pourtant acheté pour remplacer une paire identique qui a presque fait une décennie. Matériaux mal choisis ? Je conserver pour les balades en ville et sur le sable.",Utilise ce produit depuis 2 à 8 semaines,3
Bernard,15/04/2023,Je les renouvelles tous…,Je les renouvelles tous les 2 ans,Utilise ce produit depuis Plus de 2 ans,4
Bertrand,13/04/2023,Conforme aux attentes,Conforme aux attentes,Utilise ce produit depuis 7 à 12 mois,5
Philippe,09/04/2023,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Carmen,09/04/2023,Best sandals ever,Tres comfortable,Utilise ce produit depuis 2 à 8 semaines,5
Anne,08/04/2023,Bon rapport qualité-prix.,Bon rapport qualité-prix.,Utilise ce produit depuis 1 semaine ou moins,5
Olivier,06/04/2023,Paire de sandales remplacée…,Paire de sandales remplacée par des neuves après 3 années de bons et loyaux services,Utilise ce produit depuis 1 semaine ou moins,5
Cedric,04/04/2023,:yes:,👍,Utilise ce produit depuis 1 semaine ou moins,4
Louis Marie,03/04/2023,Rien a signaler,Rien a signaler,Utilise ce produit depuis Plus d'un an,4
Jp,25/03/2023,Excellent,Solide. Très satisfait du produit,Utilise ce produit depuis 7 à 12 mois,5
Vanessa,23/03/2023,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 7 à 12 mois,5
Antonio,22/03/2023,Un rapport qualité/prix sans…,"Un rapport qualité/prix sans pareil.
Impeccable comme d'habitude 👍",Utilise ce produit depuis 1 semaine ou moins,5
Jean Louis,20/03/2023,Correspond a la description,Correspond a la description,Utilise ce produit depuis 7 à 12 mois,5
Sandrine,19/03/2023,Très bien pour la…,Très bien pour la marche,Utilise ce produit depuis 7 à 12 mois,4
Kouider,13/03/2023,Qualité matière couleur et…,Qualité matière couleur et la taille,Utilise ce produit depuis 7 à 12 mois,4
Claire,11/03/2023,Pour les petites marches…,Pour les petites marches d approche pour se rendre en falaise lorsqu il y a des passages d eau.,Utilise ce produit depuis 7 à 12 mois,5
Lucie,10/03/2023,Parfait,Parfait,Utilise ce produit depuis 7 à 12 mois,5
Alban,10/03/2023,Bien,Bien,Utilise ce produit depuis 7 à 12 mois,5
Françoise,07/03/2023,très bien,très bien,Utilise ce produit depuis 3 à 6 mois,5
Vincent,07/03/2023,"Confortable pour les balades,…","Confortable pour les balades, orteils protégés ;-)",Utilise ce produit depuis 7 à 12 mois,5
Jean Claude,03/03/2023,parfait,parfait,Utilise ce produit depuis 7 à 12 mois,5
Hugues,03/03/2023,Le guide de taille…,"Le guide de taille semble erroné. La taille 48 n est pa incluse et ma sandale est trop longue de quelques mm. Dommage..... Je suis tenté  de prendre un second par sécurité  car ma taille introuvable à  part chez decathlon (48, 30.7 cm).",Utilise ce produit depuis 2 à 8 semaines,4
Matthias,02/03/2023,Top,Top,Utilise ce produit depuis 2 à 8 semaines,5
Andre,28/02/2023,impec,impec,Utilise ce produit depuis 3 à 6 mois,5
Christine,27/02/2023,qualité /prix  correcte,qualité /prix  correcte,Utilise ce produit depuis 7 à 12 mois,4
Katia,26/02/2023,Matière un peu glissante…,Matière un peu glissante mais correcte,Utilise ce produit depuis 3 à 6 mois,4
LAURENT,25/02/2023,Aération correcte du pied,Aération correcte du pied,Utilise ce produit depuis 2 à 8 semaines,5
Sylvie,22/02/2023,Bien,Bien,Utilise ce produit depuis 3 à 6 mois,4
Rakotoarimanana,22/02/2023,nh 100 marron,taille bien,Utilise ce produit depuis 1 semaine ou moins,4
Sylvie,17/02/2023,parfait pour l'été,parfait pour l'été,Utilise ce produit depuis 7 à 12 mois,5
Joelle,11/02/2023,Bon conforme à mes…,Bon conforme à mes souhaits,Utilise ce produit depuis Plus d'un an,5
Odile,08/02/2023,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 7 à 12 mois,5
Vincent,07/02/2023,Utilisé au Cap Vert,Utilisé au Cap Vert,Utilise ce produit depuis 2 à 8 semaines,5
Jean Jacques,07/02/2023,malgré quelles ne soient…,"malgré quelles ne soient pas faites pour l'eau, je ne les utilisent que pour l'eau, baignade, kayak, paddle, et il n'y a aucun problème. Elles sont solides et confortables.",Utilise ce produit depuis 3 à 6 mois,5
Emilie,30/01/2023,SUPER PRODUIT MARCHE TOUT…,SUPER PRODUIT MARCHE TOUT TERRAIN IDEAL L'ETE,Utilise ce produit depuis 7 à 12 mois,5
Élodie,29/01/2023,Bien pour les mecs,Bien pour les mecs,Utilise ce produit depuis 7 à 12 mois,4
Isabelle,29/01/2023,Confortable,Léger et résistant,Utilise ce produit depuis Plus d'un an,4
Isabelle,24/01/2023,Chaussures légères,"Agréables à porter sur sol légèrement escarpé 
Produit solide",Utilise ce produit depuis 3 à 6 mois,5
Nadine,22/01/2023,correspond à mes attentes,correspond à mes attentes,Utilise ce produit depuis 7 à 12 mois,5
Cathy,21/01/2023,Très bon produit et…,Très bon produit et bon rapport qualité/prix.,Utilise ce produit depuis 3 à 6 mois,5
Stéphane,20/01/2023,"Une pointure au-dessus, et…","Une pointure au-dessus, et c'était parfait, alors qu'il y a quelques années, j'en trouvais encore à Decathlon.",Utilise ce produit depuis 7 à 12 mois,3
Christine,20/01/2023,Le bout relevé est…,Le bout relevé est vraiment un plus,Utilise ce produit depuis 7 à 12 mois,5
Claude,18/01/2023,Bonne sandales pour l'été.,Bonne sandales pour l'été.,Utilise ce produit depuis 3 à 6 mois,4
jean-michel,18/01/2023,très bon produit,très bon produit,Utilise ce produit depuis 3 à 6 mois,5
Isabelle,17/01/2023,"très bien, mais c'est…","très bien, mais c'est un produit à essayer en magasin, les chaussures ne taillent pas correctement",Utilise ce produit depuis 7 à 12 mois,5
Bernard,17/01/2023,Excellente prestation.  Idéal…,Excellente prestation.  Idéal pour une randonnée facile,Utilise ce produit depuis 3 à 6 mois,4
Jessica,17/01/2023,Bonne chaussure,Bonne chaussure,Utilise ce produit depuis 3 à 6 mois,5
Jean Francois,17/01/2023,Bonnes sandales solides.,Bonnes sandales solides.,Utilise ce produit depuis 7 à 12 mois,5
Corinne,16/01/2023,RAS,RAS,Utilise ce produit depuis 3 à 6 mois,5
Karine,13/01/2023,Utilisation adaptée à l'usage…,Utilisation adaptée à l'usage attendu,Utilise ce produit depuis 3 à 6 mois,4
Jacques,12/01/2023,sandale,excellent pour le prix,Utilise ce produit depuis Plus d'un an,4
mohamed,08/01/2023,Ras,Ras,Utilise ce produit depuis 3 à 6 mois,5
Maxime,01/01/2023,Excellent pour marcher l'été,Excellent pour marcher l'été,Utilise ce produit depuis 3 à 6 mois,5
Francis,31/12/2022,très agréable à porter,très agréable à porter,Utilise ce produit depuis 3 à 6 mois,4
Julien,30/12/2022,Passable,Passable,Utilise ce produit depuis 3 à 6 mois,2
Francis,29/12/2022,Ras,RAS,Utilise ce produit depuis 2 à 8 semaines,5
Ahmed,26/12/2022,Elles n’amortissent pas assez…,Elles n’amortissent pas assez mais pas mal quand même,Utilise ce produit depuis 7 à 12 mois,5
Gerald,21/12/2022,Glisse un peu en…,Glisse un peu en randonnée humide,Utilise ce produit depuis 7 à 12 mois,4
Jérôme,19/12/2022,Pratique,Pratique,Utilise ce produit depuis Plus d'un an,4
Gaylord,19/12/2022,Bon produit,"C'est un bon produit, il fait bien son travail, néanmoins je trouve que lorsque l'on fait un certains poids, l'amorti du talon ne fait plus son office rapidement, sinon, mis à par ce désagrément, je recommande",Utilise ce produit depuis 3 à 6 mois,5
Christian,19/12/2022,Bonne tenue dans le…,Bonne tenue dans le temps,Utilise ce produit depuis Plus d'un an,5
Sandro,18/12/2022,Très bonne sandales,"Acheté par mes parents début mai 2022,  pour que je les portent dès les beaux jours. Ses sandales sont signe d'une grande qualité. Elles survivent à toute épreuve. Je les ai porté au lycée, à la plage, à la pêche, jusqu'en octobre 2022. Je les ai même portées à la rentrée des classes (un peu conseillé par mes parents) avec un pantacourt. Elles sont très aérées, et permettent de ne pas rester les pieds dans les baskets toute l'année comme beaucoup de jeunes de mon âge. Finalement, très agréables, confortable et multi-tâches.",Utilise ce produit depuis 7 à 12 mois,5
Claude,18/12/2022,Super produit,Super produit,Utilise ce produit depuis Plus d'un an,5
Patrick,14/12/2022,Changer les coloris serait…,Changer les coloris serait nécessaire,Utilise ce produit depuis 7 à 12 mois,4
Thomas,14/12/2022,sandales,très bien,Utilise ce produit depuis 2 à 8 semaines,3
Cécile,12/12/2022,"Bon rapport qualité-prix, confortable,…","Bon rapport qualité-prix, confortable, portées quotidiennement",Utilise ce produit depuis 3 à 6 mois,5
Alain,10/12/2022,beurk,"ce bas de gamme est une honte et ne devrait pas exister, Decathlon me l'a remboursé sans problème, et je les en remercie.",Utilise ce produit depuis 3 à 6 mois,1
Michel,09/12/2022,Gamme moyenne mais suffisant…,Gamme moyenne mais suffisant pour petite balade,Utilise ce produit depuis 3 à 6 mois,3
Marie Therese,09/12/2022,excellent produit,excellent produit,Utilise ce produit depuis 3 à 6 mois,5
Jean Loic,09/12/2022,"Sandale type ""loisirs""","Appropriée pour usage loisirs simples, pas pour usage intensif",Utilise ce produit depuis 3 à 6 mois,4
Véronique,09/12/2022,Bon rapport qualité prix,"Bon rapport qualité prix. 
Bonnes chaussures pour petites balades l'été.",Utilise ce produit depuis 3 à 6 mois,5
Jean,06/12/2022,SANDALES DE RANDONNÉE -,"sandales utilisées tout l'été , très confortable et bon amorti quel que soit le lieu .
RAS",Utilise ce produit depuis 7 à 12 mois,5
Laurence,06/12/2022,ras,ras,Utilise ce produit depuis 3 à 6 mois,4
françois-luc,04/12/2022,Je me sers de…,"Je me sers de ces sandales pour me déplacer dans ma maison exclusivement. Bien plus pratique et moins risqué que des chaussons glissants!! Pour l'usage que j'en ai, c'est un excellent achat !",Utilise ce produit depuis 3 à 6 mois,4
Jean-Claude,30/11/2022,Pas mal pour de…,Pas mal pour de petites balades,Utilise ce produit depuis 3 à 6 mois,4
Pierre,29/11/2022,Choix par dÃ©faut deâ€¦,"Choix par dÃ©faut de trouver mieux, donc pas dÃ©Ã§u, mais pas emballÃ© quand mÃªme.",Utilise ce produit depuis 3 Ã  6 mois,2
Micheline,28/11/2022,TRES BIEN FACILE Aâ€¦,TRES BIEN FACILE A ENFILLER,Utilise ce produit depuis 7 Ã  12 mois,4
Delphine,28/11/2022,sandales achetÃ©es pour bricolerâ€¦,"sandales achetÃ©es pour bricoler l'Ã©tÃ© Ã  la maison, elles ne seraient sÃ»rement pas assez confortables pour faire de la randonnÃ©e pendant plusieurs heures",Utilise ce produit depuis 3 Ã  6 mois,4
Yves,28/11/2022,Bien pour marcher,Bien pour marcher,Utilise ce produit depuis 3 Ã  6 mois,5
Gerard,26/11/2022,bien,bien,Utilise ce produit depuis Plus de 2 ans,5
Philippe,26/11/2022,AgrÃ©able,AgrÃ©able,Utilise ce produit depuis 3 Ã  6 mois,5
Alain,23/11/2022,Confortable Ã  recommander,Confortable Ã  recommander,Utilise ce produit depuis 3 Ã  6 mois,4
FranÃ§ois,21/11/2022,Un produit dÃ©cathlon quiâ€¦,"Un produit dÃ©cathlon qui se repÃ¨re de loin. On y est sensible ou pas !
Je les ai beaucoup portÃ© cet Ã©tÃ©, sur sol sec, dans l'eau, ... rien ne s'est dÃ©collÃ©, abÃ®mÃ©. Elle feront encore leur (bon) usage l'annÃ©e prochaine sans soucis. Les prÃ©cÃ©dentes (DÃ©cathlon aussi) ont durÃ© 6 ans, je reste optimiste si la politique endurance n'a pas changÃ©.",Utilise ce produit depuis 3 Ã  6 mois,4
Gilles,12/11/2022,Tres bien' mais laidesâ€¦,Tres bien' mais laides ğŸ˜„,Utilise ce produit depuis 3 Ã  6 mois,4
Thierry,09/11/2022,Sandales,TrÃ¨s bien pour aller Ã  la plage ou faire de petites sorties Ã  pieds. Taille bien et trÃ¨s bon maintient.,Utilise ce produit depuis 2 Ã  8 semaines,5
Saoudi,08/11/2022,OK merci,OK merci,Utilise ce produit depuis 3 à 6 mois,5
Xavier,06/11/2022,Ok,Ok,Utilise ce produit depuis 3 à 6 mois,4
Tania,05/11/2022,bien,une semelle plus confortable serait bienvenue,Utilise ce produit depuis 3 à 6 mois,5
Didier,03/11/2022,très bon rapport qualité…,très bon rapport qualité /prix,Utilise ce produit depuis 2 à 8 semaines,5
Patrick,02/11/2022,sandales très légères,"Pratiques et confortables, ces sandales sont utiles en plein été et leur prix est très abordable",Utilise ce produit depuis 3 à 6 mois,4
Jean.sébastien,01/11/2022,"Un classique, le revêtement…","Un classique, le revêtement en contact avec la plante du pied est particulièrement confortable pour une sandale d entrée de gamme, je les ai en trois exemplaires !",Utilise ce produit depuis 3 à 6 mois,5
Carlos,31/10/2022,Produit qualité prix top,Produit qualité prix top,Utilise ce produit depuis 2 à 8 semaines,4
Luc,31/10/2022,"Pas chère, facile à…","Pas chère, facile à mettre. Résistante.",Utilise ce produit depuis 3 à 6 mois,5
Jean Pierre,25/10/2022,Excellent,Excellent,Utilise ce produit depuis 3 à 6 mois,5
Sandra,23/10/2022,Ces sandales sont agréables…,"Ces sandales sont agréables à porter mais pendant de longues marches, avec la transpiration, le pied a tendance à glisser sur la semelle intérieur. Une semelle absorbante serait appréciable.",Utilise ce produit depuis 3 à 6 mois,3
Guillaume,23/10/2022,Très bien,Très bien,Utilise ce produit depuis 2 à 8 semaines,5
Michael,20/10/2022,Vraiment très confortable pour…,Vraiment très confortable pour marcher,Utilise ce produit depuis 3 à 6 mois,5
Jean Pierre,18/10/2022,Très bien pour marcher…,Très bien pour marcher sur les sentiers du littoral sur de courtes distances,Utilise ce produit depuis 3 à 6 mois,4
Camille,17/10/2022,Bon produit conforme à…,Bon produit conforme à ce que je voulais,Utilise ce produit depuis 2 à 8 semaines,4
Philippe,16/10/2022,Très bien pour petite…,Très bien pour petite randonnée à la journée par beau temps..,Utilise ce produit depuis 2 à 8 semaines,5
Michel,16/10/2022,"Bonjour, matériel qui correspond…","Bonjour, matériel qui correspond très bien à la gamme. Les lanières sont larges et maintiennent bien le pied. Les scratchs sont bien proportionnés pas trop larges pour ne pas blesse  pied et avoir une très bonne accroche et pas fins comme on peut le voir sur certains modèles qui ne tiennent plus aux pieds en peu de temps. L'arrière de la chaussure est d'une pièce ce qui renforce sa solidité et sa stabilité.
Peut être utilisé en milieux humide pourvu de bien les faire sécher ensuite.
L'amorti reste suffisant pour une utilisation modérée sur terrain pas trop rugueux (gros gravier par exemple). Attention au poids de l'occupant de ces sandales, tassement de la semelle à très moyen terme. Chaussure confortable dans son ensemble. Le rapport qualité prix est respecté.",Utilise ce produit depuis 2 à 8 semaines,4
Raphael,15/10/2022,chaussure,pratique,Utilise ce produit depuis 3 à 6 mois,5
Herve,14/10/2022,Bon rapport qualité prix.,Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,5
Gerard,14/10/2022,bien,bien,Utilise ce produit depuis 2 à 8 semaines,4
Frédéric,13/10/2022,bon produit,bon produit,Utilise ce produit depuis 3 à 6 mois,4
Eric,13/10/2022,Légèreté pour l'été,Très agréables et légères à porter. Bonne semelle résistante. Réglage des sangles simple et efficace.,Utilise ce produit depuis Plus d'un an,5
Patrick,11/10/2022,Tiens bien,Tiens bien,Utilise ce produit depuis 3 à 6 mois,5
Patricia,11/10/2022,Très confortable et de…,Très confortable et de bonne qualité,Utilise ce produit depuis 1 semaine ou moins,5
Patricia,10/10/2022,Très bon produit léger…,Très bon produit léger et confortable,Utilise ce produit depuis 3 à 6 mois,5
Christine,08/10/2022,on est bien dans…,"on est bien dans ces sandales, bonne adhérence, bon amorti, le pied est bien tenu. bon produit.",Utilise ce produit depuis 2 à 8 semaines,5
Francine,05/10/2022,Satisfaite,Satisfaite,Utilise ce produit depuis 2 à 8 semaines,5
Vincent,05/10/2022,Les lanières sont trop…,"Les lanières sont trop étroites, donc inconfortables. Elle pourraient être un peu plus longues pour un meilleur grip sur le velcro. Les semelles sont minimalistes.",Utilise ce produit depuis 3 à 6 mois,5
Christian,05/10/2022,Une chaussure juste pour…,"Une chaussure juste pour l'été, tous les jours, confortable et a un prix très contenu.
A ce prix là, je change tous les ans!",Utilise ce produit depuis 2 à 8 semaines,4
MARC,05/10/2022,pratique,pratique,Utilise ce produit depuis 2 à 8 semaines,5
Moh,05/10/2022,"fait bien le job,…","fait bien le job, pour le prix vraiment pas mal, l'amorti un peu faible, une semelle plus légèrement plus épaisse et amortissante, ce serait pas mal",Utilise ce produit depuis 3 à 6 mois,5
Pascal,04/10/2022,très bon produit.,très bon produit.,Utilise ce produit depuis 2 à 8 semaines,5
Johnsan,02/10/2022,Bon0,Bon0,Utilise ce produit depuis 2 à 8 semaines,4
Christophe,02/10/2022,Parfait,Parfait,Utilise ce produit depuis 2 à 8 semaines,5
Claudine,01/10/2022,Très Bien pour la…,Très Bien pour la detente,Utilise ce produit depuis 2 à 8 semaines,5
Virginie,01/10/2022,Ras nikel,Ras nikel,Utilise ce produit depuis 2 à 8 semaines,5
Anne-Marie,29/09/2022,Rapport qualité prix parfait,Rapport qualité prix parfait,Utilise ce produit depuis 2 à 8 semaines,5
Francine,29/09/2022,Bon rapport qualité prix.…,Bon rapport qualité prix. Dommage que le 42 n existe pas version femme,Utilise ce produit depuis 2 à 8 semaines,4
Sophie,28/09/2022,Bon produit rapport qualité…,Bon produit rapport qualité prix,Utilise ce produit depuis 3 à 6 mois,5
Sylvie,28/09/2022,Agréable pour promenades tranquilles…,Agréable pour promenades tranquilles en été,Utilise ce produit depuis 3 à 6 mois,4
Sebastien,27/09/2022,Cool,Cool,Utilise ce produit depuis 3 à 6 mois,5
Ed,27/09/2022,Enfin une bonne couleur,"J'ai porté ce modele de sandales depuis 6 ans, sauf quand il fait froid.  Confortable (esp avec hallus valgus), bonne protection pour les doigts, résistant, pas cher.  Enfin disponible en bonne couleur.",Utilise ce produit depuis 2 à 8 semaines,5
Francis,27/09/2022,"bon produit , bon…","bon produit , bon maintien . fond pas mal au pieds",Utilise ce produit depuis 2 à 8 semaines,5
Jean Yves,26/09/2022,Chaussures de bonne qualité,Chaussures de bonne qualité,Utilise ce produit depuis 2 à 8 semaines,5
Christine,26/09/2022,utilisé à domicile,utilisé à domicile,Utilise ce produit depuis 2 à 8 semaines,4
Eric,24/09/2022,Pour une saison estivale…,Pour une saison estivale ça va,Utilise ce produit depuis 2 à 8 semaines,4
Chafikah,24/09/2022,Bon maintien,Bon maintien,Utilise ce produit depuis 2 à 8 semaines,5
MARIE FRANCE,24/09/2022,Merci à mes sandales.…,"Merci à mes sandales. Avec un doigt de pied cassé 3 jours avant de partir en vacances pour faire de la marche , impossible de mettre de chaussure.
On m'a conseillé ces sandales , grâce aux scratchs j'ai pu poser mon pied sur la sandale,
Scratcher sans trop serrer et j'ai pu marcher sans problèmes.",Utilise ce produit depuis 2 à 8 semaines,5
Gérard,23/09/2022,Bonne protection des doigts…,Bonne protection des doigts de pieds.,Utilise ce produit depuis 2 à 8 semaines,4
Jean Louis,23/09/2022,Prix convenable.,Prix convenable.,Utilise ce produit depuis 2 à 8 semaines,5
Khaled,22/09/2022,Difficile à chausser et…,"Difficile à chausser et ne maintien pas bien le pied, pas confortable",Utilise ce produit depuis 2 à 8 semaines,1
Pascal,22/09/2022,Sur une journée de…,"Sur une journée de 12 km , J ai eu un échauffement au niveau du pouce droite à force de frotter,  mais cela n a pas recommencer sur les autres marches",Utilise ce produit depuis 2 à 8 semaines,4
Gaelle,21/09/2022,Très  bon produit,Très  bon produit,Utilise ce produit depuis 2 à 8 semaines,4
